"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"2404132","CARNES SELECTAS DE JALISCO",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","BOULEVARD","SOLIDARIDAD LAS TORRES (BOULEVARD LAZARO CARDENAS)","CALLE","BENITO JUAREZ","CALLE","JUAN ALDAMA","CALLE","DOROTEO ARANGO","100",,,,,,"COLONIA","DEL PARQUE",,,,"50180","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","206A","019",,"LAUSNDVAL@GMAIL.COM",,"Fijo","19.26807791","-99.65392153","2010-07"
"2386443","CARNICERÍA LA MARRANITA",,"431121","Comercio al por mayor de carnes rojas","0 a 5 personas","CALLE","SIN REFERENCIA","CALLE","CALLE DEL EMBUTIDO","CALLE","NINGUNO","CALLE","NINGUNO","56","LC","CENTRAL DE ABASTO","CORREDOR","84","A","COLONIA","SAN JOSE GUADALUPE","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","056",,,,"Fijo","19.34656707","-99.60417258","2010-07"
"2386521","CARNICERÍA Y TOCINERÍA CONDE HERMANOS",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","CALLE","SIN REFERENCIA","CALLE","CALLE DEL EMBUTIDO","CALLE","NINGUNO","CALLE","NINGUNO","56","LC","CENTRAL DE ABASTO","CORREDOR","101",,"COLONIA","SAN JOSE GUADALUPE","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","101","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","056","7222103156",,,"Fijo","19.34656707","-99.60417258","2010-07"
"2435897","CARNICOS DANIELA GONZALEZ",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","BOULEVARD","SOLIDARIDAD LAS TORRES (BOULEVARD LAZARO CARDENAS)","CALLE","LAGO NICARAGUA","CALLE","LAGUNA DE LA GAVIA","CALLE","GENERAL ÁLVARO OBREGÓN",,"SN",,,,,"COLONIA","SEMINARIO",,,,"50170","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2017","041",,,,"Fijo","19.27158755","-99.66857565","2014-12"
"7314333","CARNICOS GONZALEZ",,"431121","Comercio al por mayor de carnes rojas","0 a 5 personas","BOULEVARD","SOLIDARIDAD LAS TORRES (BOULEVARD LAZARO CARDENAS)","CALLE","WENCESLAO LABRA","CALLE","TERCERA PRIVADA W. LABRA","CALLE","SONIA",,"SN",,,,,"COLONIA","NUEVA SANTA MARIA DE LAS ROSAS",,,,"50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","213A","036",,,,"Fijo","19.27176594","-99.63779728","2019-11"
"2494273","CARNICOS LA PROVIDENCIA",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","CALLE","COLIMA","BOULEVARD","SOLIDARIDAD LAS TORRES (BOULEVARD LAZARO CARDENAS)","CALLE","FELIPE BERRIOZABAL","BOULEVARD","SOLIDARIDAD LAS TORRES (BOULEVARD LÁZARO CÁRDENAS)","122",,,,,,"COLONIA","SANTA MARIA DE LAS ROSAS",,,,"50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2144","033",,,,"Fijo","19.27067874","-99.64378022","2010-07"
"8632429","CARNICOS QUIROZ",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","CALLE","C. TLALNEPANTLA","CALLE","C. TEMASCALTEPEC","CALLE","EL ORO","CALLE","C. 18 DE MARZO","0","SN","MERCADO PUBLICO","PISO 2","251",,"COLONIA","SECTOR POPULAR","MERCADO PUBLICO","MERCADO MIGUEL HIDALGO","251-252","50040","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","3208","027","2287398","ENRIKEQ.EQ40@GMAIL.COM",,"Fijo","19.29592375","-99.66693081","2019-11"
"6741356","CEDIS TOLUCA","COMERCIALIZADORA DE CARNES DE MEXICO S DE RL DE CV","431122","Comercio al por mayor de carne de aves","11 a 30 personas","CALLE","HACIENDA CHINAMECA","CALLE","ALFREDO DEL MAZO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","HACIENDA DE CANUTILLO","523",,,,"0",,"COLONIA","INDEPENDENCIA",,,,"50070","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","3246","028",,"JUANJOSE.AVILA@PILGRIMS.COM","WWW.PILGRIMS.COM","Fijo","19.29937312","-99.62838849","2016-10"
"2495117","COMERCIALOIZADORA DE CARNICOS TOBY",,"431121","Comercio al por mayor de carnes rojas","11 a 30 personas","CALLE","PLAN DE SAN LUIS","BOULEVARD","JOSE MARIA PINO SUAREZ","CALLE","PLAN DE AGUA PRIETA","CALLE","PLAN DE TEXCA","193",,,,"0",,"COLONIA","LA MAGDALENA",,,,"50190","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","213A","013","7226486843","CARNICOSTONY@HIOTMAIL.COM",,"Fijo","19.26872982","-99.63891533","2010-07"
"2386532","DISTRIBUIDORA DE CARNES SAN LUIS",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","CALLE","SIN REFERENCIA","CALLE","CALLE DEL EMBUTIDO","CALLE","NINGUNO","CALLE","NINGUNO","56","LC","CENTRAL DE ABASTO","CORREDOR","84","B","COLONIA","SAN JOSE GUADALUPE","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","B","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","056",,,,"Fijo","19.34656707","-99.60417258","2014-12"
